seed,severity,modality,regime,estimator,threshold,abstention_rate,coverage_defect,coverage_ok,roc_auc,pr_auc,brier,recall,precision,f1,escape_rate,overkill_rate,true_negative,false_positive,false_negative,true_positive
7,1.0,vision,inline,xgboost,0.01,0.0937062937062937,0.9094922737306843,0.8854961832061069,0.9965539322245252,0.998252450059684,0.015715056670048064,0.9977924944812362,0.7985865724381626,0.887144259077527,0.002207505518763797,0.4351145038167939,148,114,1,452
7,1.0,process,inline,xgboost,0.030000000000000002,0.35524475524475524,0.9558498896247241,0.7175572519083969,0.7843258682574187,0.8711607505647224,0.18494328556582687,1.0,0.6335664335664336,0.7756849315068494,0.0,1.0,0,262,0,453
7,1.0,fusion,inline,xgboost,0.015,0.12727272727272726,0.8962472406181016,0.8282442748091603,0.9977419409197378,0.9987574616433912,0.017435552159760413,1.0,0.8451492537313433,0.916076845298281,0.0,0.31679389312977096,179,83,0,453
7,1.5,vision,inline,xgboost,0.04,0.07692307692307693,0.9205298013245033,0.9045801526717557,0.9943969802672598,0.9969946462092695,0.026303300487100858,0.9977924944812362,0.8293577981651377,0.905811623246493,0.002207505518763797,0.3549618320610687,169,93,1,452
7,1.5,process,inline,xgboost,0.030000000000000002,0.35524475524475524,0.9558498896247241,0.7175572519083969,0.7843258682574187,0.8711607505647224,0.18494328556582687,1.0,0.6335664335664336,0.7756849315068494,0.0,1.0,0,262,0,453
7,1.5,fusion,inline,xgboost,0.034999999999999996,0.12307692307692308,0.9183222958057395,0.7977099236641222,0.9958546079571305,0.9976387597429931,0.026404209864467718,1.0,0.814748201438849,0.8979187314172448,0.0,0.3931297709923664,159,103,0,453
7,2.0,vision,inline,xgboost,0.034999999999999996,0.03776223776223776,0.9050772626931567,0.8664122137404581,0.9705651888175522,0.9820640460910515,0.06209383082023263,0.9955849889624724,0.7381342062193126,0.8477443609022557,0.004415011037527594,0.6106870229007634,102,160,2,451
7,2.0,process,inline,xgboost,0.030000000000000002,0.35524475524475524,0.9558498896247241,0.7175572519083969,0.7843258682574187,0.8711607505647224,0.18494328556582687,1.0,0.6335664335664336,0.7756849315068494,0.0,1.0,0,262,0,453
7,2.0,fusion,inline,xgboost,0.030000000000000002,0.0979020979020979,0.9116997792494481,0.767175572519084,0.9750349662133697,0.9835340230755238,0.06285301101738237,1.0,0.7341977309562399,0.8467289719626169,0.0,0.6259541984732825,98,164,0,453
7,3.0,vision,inline,xgboost,0.055,0.12027972027972028,0.8852097130242825,0.8702290076335878,0.915668233827073,0.9498130498887165,0.1141608803319946,1.0,0.6527377521613833,0.7898866608544028,0.0,0.9198473282442748,21,241,0,453
